Keyword,URL,2025-09-16,2025-09-23,2025-09-30,2025-10-07,2025-10-14,2025-10-21,2025-10-28,2025-11-03,2025-11-04,2025-11-11,2025-11-28,2026-01-06,2026-01-20,2026-02-13,2026-03-03
канцтовари для школи,https://avrora.ua/shkilne-priladdya/,4,6,6,6,3,5,1,3,3,3,3,3,3,3,1
купити канцтовари для школи,https://avrora.ua/shkilne-priladdya/,11,6,7,5,3,8,3,5,4,3,3,4,4,3,1
купити канцелярські товари для школи,https://avrora.ua/shkilne-priladdya/,11,8,8,3,3,3,3,3,4,3,3,4,4,3,1
канцтовари до школи,https://avrora.ua/shkilne-priladdya/,6,6,6,4,4,4,1,4,7,4,3,4,4,3,1
купити канцтовари для школи недорого,https://avrora.ua/shkilne-priladdya/,3,4,4,3,3,4,4,4,4,3,3,4,4,3,3
купити канцтовари до школи,https://avrora.ua/shkilne-priladdya/,6,6,6,6,5,8,3,3,3,3,3,4,4,5,1
канцтовари для школи дешево,https://avrora.ua/shkilne-priladdya/,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1
купить канцтовари для школи,https://avrora.ua/shkilne-priladdya/,5,6,7,4,5,6,3,3,6,3,3,5,5,5,1
для школи канцтовари,https://avrora.ua/shkilne-priladdya/,8,6,7,5,5,4,2,5,4,5,5,5,4,5,1
канцелярські товари для школи,https://avrora.ua/shkilne-priladdya/,7,7,7,3,3,5,4,3,4,3,3,4,4,3,1
канцелярія для школи купити,https://avrora.ua/shkilne-priladdya/,11,5,6,7,3,8,6,8,8,7,3,5,5,3,3
канцтовари для школи за низькими цінами,https://avrora.ua/tarilki-ta-salatniki/,9,9,8,5,7,6,3,6,5,7,3,3,3,4,62
канцтовари для школи купити,https://avrora.ua/shkilne-priladdya/,7,6,6,5,5,6,5,7,7,4,4,4,5,4,1
канцтовари для школи недорого,https://avrora.ua/shkilne-priladdya/,6,6,7,3,3,3,3,3,3,3,3,3,3,3,1
канцтовари для школи оптом,https://avrora.ua/kanctovari-knigi-hobi/,15,11,12,12,11,20,12,12,18,20,24,25,29,50,57
канцтовари для школи список,https://avrora.ua/blog/tvorchist-ta-navchannya/zbiraiemo-ditinu-do-shkoli-scho-potribno-kupiti/,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
канцтовари для школи інтернет магазин,https://avrora.ua/shkilne-priladdya/,5,6,5,3,4,4,3,4,4,7,4,4,6,5,3
канцтовари до школи дешево,https://avrora.ua/shkilne-priladdya/,3,3,3,3,3,5,3,3,3,3,3,3,3,3,1
купити канцтовари в школу недорого,https://avrora.ua/shkilne-priladdya/,6,6,6,3,3,3,3,3,3,3,5,5,4,6,4
купити шкільну канцелярію дешево,https://avrora.ua/shkilne-priladdya/,6,6,7,5,4,5,5,5,5,5,4,4,4,4,3
найдешевші канцтовари для школи,https://avrora.ua/shkilne-priladdya/,4,4,4,4,4,7,4,4,4,4,4,4,4,3,2
список канцтоварів для школи,https://avrora.ua/blog/tvorchist-ta-navchannya/zbiraiemo-ditinu-do-shkoli-scho-potribno-kupiti/,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
бланк розклад уроків,https://avrora.ua/shablon-rozkladu-urokiv/,10,12,10,11,-,39,-,-,-,57,70,-,73,-,76
бланк розкладу уроків,https://avrora.ua/shablon-rozkladu-urokiv-laminovaniy-a4-apelsin/,9,9,7,9,-,-,-,-,-,-,-,-,-,-,-
розклад уроків бланк,https://avrora.ua/shablon-rozkladu-urokiv/,12,-,10,10,-,-,-,54,80,-,51,-,55,-,-
зошити,https://avrora.ua/zoshiti/,10,14,13,6,15,13,7,13,15,7,3,5,5,4,3
зошиті,https://avrora.ua/zoshiti/,16,16,17,13,15,14,12,13,13,11,5,6,5,4,4
купити зошити,https://avrora.ua/zoshiti/,4,5,6,6,7,-,4,11,5,6,3,5,5,4,1
зошити для школи,https://avrora.ua/zoshiti/,1,5,7,5,5,5,5,6,6,5,4,5,5,4,1
зошит для школи,https://avrora.ua/zoshiti/,7,8,7,6,6,6,6,6,6,5,4,5,5,3,1
купити зошити дешево,https://avrora.ua/zoshiti/,5,7,8,7,11,16,6,6,6,11,5,5,4,5,4
зошити купити,https://avrora.ua/zoshiti/,4,5,5,12,4,-,5,9,9,4,4,4,4,1,1
шкільні зошити купити недорого,https://avrora.ua/zoshiti/,12,11,11,13,11,11,11,11,12,11,5,5,5,4,5
зошит шкільний,https://avrora.ua/zoshiti/,5,4,3,4,3,3,1,1,1,1,1,2,2,1,1
купити зошити для школи,https://avrora.ua/zoshiti/,1,1,1,3,3,1,1,4,3,3,1,2,1,1,1
купити зошити недорого,https://avrora.ua/zoshiti/,4,9,11,10,9,12,9,7,7,8,4,5,5,5,4
купити зошити для школи недорого,https://avrora.ua/zoshiti/,3,6,4,4,4,5,5,5,5,4,4,4,6,3,4
шкільний зошит,https://avrora.ua/zoshiti/,4,4,1,4,1,1,1,3,4,3,3,4,1,3,1
зошит ціна,https://avrora.ua/zoshiti/,6,7,7,7,6,4,6,7,7,7,4,4,4,4,2
зошити в школу,https://avrora.ua/zoshiti/,3,5,5,7,8,5,7,7,8,5,4,4,3,2,1
зошити купити дешево,https://avrora.ua/zoshiti/,12,12,12,13,13,15,12,11,10,10,5,5,5,5,5
купити шкільні зошити,https://avrora.ua/zoshiti/,10,11,-,12,10,6,5,-,5,5,1,4,4,4,3
дешеві зошити для школи,https://avrora.ua/zoshiti/,7,7,7,9,8,9,8,9,8,9,4,4,4,3,3
замовити зошити,https://avrora.ua/zoshiti/,5,9,8,9,5,4,6,5,5,8,4,4,4,1,1
зошити дешево,https://avrora.ua/zoshiti/,12,10,11,12,11,11,9,10,6,8,3,4,4,4,4
зошити шкільні купити дешево,https://avrora.ua/zoshiti/,14,17,16,18,16,16,12,13,13,14,6,7,6,5,4
канцелярія зошити,https://avrora.ua/zoshiti/,5,7,8,8,6,11,6,6,6,6,4,4,3,3,2
