"Google Mobile Украина, язык интерфейса: українська"
"Ключевое слово",URL,Частотность,Динамика,2025-09-16,2025-09-23,2025-09-25,2025-09-30,2025-10-07,2025-10-14,2025-10-21,2025-10-28,2025-11-03,2025-11-04,2025-11-05,2025-11-11,2025-11-28,2026-01-06,2026-01-20,2026-02-13,2026-03-03
"канцтовари для школи",https://avrora.ua/shkilne-priladdya/,210,3,4,6,"Нет данных",6,6,3,5,1,3,3,"Нет данных",3,3,3,3,3,1
"купити канцтовари для школи",https://avrora.ua/shkilne-priladdya/,110,10,11,6,"Нет данных",7,5,3,8,3,5,4,"Нет данных",3,3,4,4,3,1
"купити канцелярські товари для школи",https://avrora.ua/shkilne-priladdya/,110,10,11,8,"Нет данных",8,3,3,3,3,3,4,"Нет данных",3,3,4,4,3,1
"канцтовари до школи",https://avrora.ua/shkilne-priladdya/,50,5,6,6,"Нет данных",6,4,4,4,1,4,7,"Нет данных",4,3,4,4,3,1
"купити канцтовари для школи недорого",https://avrora.ua/shkilne-priladdya/,40,0,3,4,"Нет данных",4,3,3,4,4,4,4,"Нет данных",3,3,4,4,3,3
"купити канцтовари до школи",https://avrora.ua/shkilne-priladdya/,20,5,6,6,"Нет данных",6,6,5,8,3,3,3,"Нет данных",3,3,4,4,5,1
"канцтовари для школи дешево",https://avrora.ua/shkilne-priladdya/,10,1,2,3,"Нет данных",3,3,3,3,3,3,3,"Нет данных",3,3,3,3,3,1
"купить канцтовари для школи",https://avrora.ua/shkilne-priladdya/,20,4,5,6,"Нет данных",7,4,5,6,3,3,6,"Нет данных",3,3,5,5,5,1
"для школи канцтовари",https://avrora.ua/shkilne-priladdya/,10,7,8,6,"Нет данных",7,5,5,4,2,5,4,"Нет данных",5,5,5,4,5,1
"канцелярські товари для школи",https://avrora.ua/shkilne-priladdya/,10,6,7,7,"Нет данных",7,3,3,5,4,3,4,"Нет данных",3,3,4,4,3,1
"канцелярія для школи купити",https://avrora.ua/shkilne-priladdya/,10,8,11,5,"Нет данных",6,7,3,8,6,8,8,"Нет данных",7,3,5,5,3,3
"канцтовари для школи за низькими цінами",https://avrora.ua/tarilki-ta-salatniki/,10,-53,9,9,"Нет данных",8,5,7,6,3,6,5,"Нет данных",7,3,3,3,4,62
"канцтовари для школи купити",https://avrora.ua/shkilne-priladdya/,10,6,7,6,"Нет данных",6,5,5,6,5,7,7,"Нет данных",4,4,4,5,4,1
"канцтовари для школи недорого",https://avrora.ua/shkilne-priladdya/,10,5,6,6,"Нет данных",7,3,3,3,3,3,3,"Нет данных",3,3,3,3,3,1
"канцтовари для школи оптом",https://avrora.ua/kanctovari-knigi-hobi/,10,-42,15,11,"Нет данных",12,12,11,20,12,12,18,"Нет данных",20,24,25,29,50,57
"канцтовари для школи список",https://avrora.ua/blog/tvorchist-ta-navchannya/zbiraiemo-ditinu-do-shkoli-scho-potribno-kupiti/,10,0,1,1,"Нет данных",1,1,1,1,1,1,1,"Нет данных",1,1,1,1,1,1
"канцтовари для школи інтернет магазин",https://avrora.ua/shkilne-priladdya/,10,2,5,6,"Нет данных",5,3,4,4,3,4,4,"Нет данных",7,4,4,6,5,3
"канцтовари до школи дешево",https://avrora.ua/shkilne-priladdya/,10,2,3,3,"Нет данных",3,3,3,5,3,3,3,"Нет данных",3,3,3,3,3,1
"купити канцтовари в школу недорого",https://avrora.ua/shkilne-priladdya/,10,2,6,6,"Нет данных",6,3,3,3,3,3,3,"Нет данных",3,5,5,4,6,4
"купити шкільну канцелярію дешево",https://avrora.ua/shkilne-priladdya/,10,3,6,6,"Нет данных",7,5,4,5,5,5,5,"Нет данных",5,4,4,4,4,3
"найдешевші канцтовари для школи",https://avrora.ua/shkilne-priladdya/,10,2,4,4,"Нет данных",4,4,4,7,4,4,4,"Нет данных",4,4,4,4,3,2
"список канцтоварів для школи",https://avrora.ua/blog/tvorchist-ta-navchannya/zbiraiemo-ditinu-do-shkoli-scho-potribno-kupiti/,10,0,1,1,"Нет данных",1,1,1,1,1,1,1,"Нет данных",1,1,1,1,1,1
"бланк розклад уроків",https://avrora.ua/shablon-rozkladu-urokiv/,20,-66,10,12,"Нет данных",10,11,-,39,-,-,-,"Нет данных",57,70,-,73,-,76
"бланк розкладу уроків",https://avrora.ua/shablon-rozkladu-urokiv-laminovaniy-a4-apelsin/,10,-91,9,9,"Нет данных",7,9,-,-,-,-,-,"Нет данных",-,-,-,-,-,-
"розклад уроків бланк",https://avrora.ua/shablon-rozkladu-urokiv/,20,-88,12,-,"Нет данных",10,10,-,-,-,54,80,"Нет данных",-,51,-,55,-,-
зошити,https://avrora.ua/zoshiti/,1900,7,10,14,"Нет данных",13,6,15,13,7,13,15,"Нет данных",7,3,5,5,4,3
зошиті,https://avrora.ua/zoshiti/,4400,12,16,16,"Нет данных",17,13,15,14,12,13,13,"Нет данных",11,5,6,5,4,4
"купити зошити",https://avrora.ua/zoshiti/,120,3,4,5,"Нет данных",6,6,7,-,4,11,5,"Нет данных",6,3,5,5,4,1
"зошити для школи",https://avrora.ua/zoshiti/,260,0,1,5,"Нет данных",7,5,5,5,5,6,6,"Нет данных",5,4,5,5,4,1
