Referring page title,Referring page URL,Language,Platform,Referring page HTTP code,Domain rating,UR,Domain traffic,Referring domains,Linked domains,External links,Page traffic,Keywords,Target URL,Left context,Anchor,Right context,Redirect Chain URLs,Redirect Chain status codes,Type,Is spam,Content,Nofollow,UGC,Sponsored,Rendered,Raw,Lost status,Drop reason,Discovered status,First seen,Last seen,Lost,Author,Page type,Page category
"ТОП-10 українських CRM-систем 2025: огляд, переваги та порівняння",https://www.oneservice-consulting.com/top-10-ukrainskikh-crm-sistem,uk,,200,23,6,1606,0,18,25,353,22,https://uspacy.ua/,Посилання на сайт компанії -,https://uspacy.ua/,,,,text,false,true,false,false,false,false,true,,,pagefound,2025-01-21 13:14:09,2026-03-07 00:37:46,,,,
ТОП 20 українських CRM-систем для товарного бізнесу,https://h-profit.com/blog/ukrainian-crm-systems/,uk,wordpress,200,45,4.5,4938,0,24,26,48,14,https://uspacy.ua/,,Uspacy CRM,– новий український гравець у топ CRM України з багатомовним,,,text,false,true,false,false,false,false,true,,,pagefound,2025-07-03 03:39:09,2026-03-10 18:03:49,,,Article > Comparison,Business > Retail trade > Technology; Computers and electronics > Software > Business
Воронка продаж: воронка или трамплин? Как построить процесс продаж с помощью современных инструментов,https://netpeak.net/ru/blog/voronka-prodazh-voronka-ili-tramplin-kak-postroit-protsess-prodazh-s-pomoshch-yu-sovremennykh-instrumentov/,ru,,200,70,4.5,23461,1,16,37,46,1,https://uspacy.ua/cases/industries/equipment/,"Немало лидов теряется уже на этом этапе, по статистике это",может быть даже 20,"%. Допустим, менеджер неправильно записал номер телефона или вообще забыл",,,text,false,true,false,false,false,true,true,,,pagefound,2025-09-23 21:51:15,2026-02-26 04:05:39,,Ирина Гармаш,Article > Guide,Business > Business operations > Management
ТОП 20 украинских CRM-систем для товарного бизнеса,https://h-profit.com/blog/ru/ukrainian-crm-systems/,ru,wordpress,200,45,4.5,4938,0,24,26,38,15,https://uspacy.ua/,,Uspacy CRM,— новый украинский игрок в топ CRM Украины с многоязычным,,,text,false,true,false,false,false,false,true,,,pagefound,2025-07-04 10:21:50,2026-03-11 18:37:24,,,Article > Comparison,Business > Retail trade > Technology; Computers and electronics > Software > Business; Internet
ТОП-10 українських CRM для бізнесу,https://www.promodo.ua/blog/10-crm-dlya-biznesu-perevagi-ta-nedoliki,uk,,200,48,5,10716,0,22,24,21,8,https://uspacy.ua/prices/,,Більш детально про Uspacy,,,,text,false,true,false,false,false,false,true,,,pagefound,2024-11-15 09:46:10,2026-03-11 05:40:05,,,,
➊СОЗДАНИЕ САЙТОВ Одесса ᐈ Заказать разработку сайта | Веб-студия Cursor,https://cursor.net.ua/,ru,,200,39,13,331,206,25,37,15,6,https://uspacy.ua/,,Перейти на <br>сайт партнера Uspacy - CRM система для внутренних коммуникаций и взаимодействия между сотрудниками,,,,image,false,false,true,false,false,false,true,,,linkfound,2024-03-17 22:23:39,2026-03-12 03:34:19,,,Site page > Services,Internet > Web services > Development; Computers and electronics > Software
"Підписи до листів у пошті | База знань Uspacy | Навчальні статті та практичні матеріали, що допоможуть в роботі з Uspacy",https://ua.uspacy.support/uk/articles/10305571-%D0%BF%D1%96%D0%B4%D0%BF%D0%B8%D1%81%D0%B8-%D0%B4%D0%BE-%D0%BB%D0%B8%D1%81%D1%82%D1%96%D0%B2-%D1%83-%D0%BF%D0%BE%D1%88%D1%82%D1%96,uk,,200,27,4.7,103,0,8,31,9,1,https://uspacy.ua/prices/,Детальніше про можливості та функціонал тарифів можна ознайомитися на,сторінці цін,.,,,text,false,false,true,false,false,false,true,,,pagefound,2025-01-18 11:28:52,2026-03-09 07:53:38,,,,
"Вебхуки. Як це працює? | База знань Uspacy | Навчальні статті та практичні матеріали, що допоможуть в роботі з Uspacy",https://ua.uspacy.support/uk/articles/8186103-%D0%B2%D0%B5%D0%B1%D1%85%D1%83%D0%BA%D0%B8-%D1%8F%D0%BA-%D1%86%D0%B5-%D0%BF%D1%80%D0%B0%D1%86%D1%8E%D1%94,uk,,200,27,0,103,0,9,33,9,2,https://uspacy.ua/implementation/partners/,спеціалістам-розробникам. Або ж ви завжди можете звернутися за допомогою до,наших партнерів,.,,,text,false,false,true,false,false,false,true,,,pagefound,2025-01-18 16:11:28,2026-03-09 23:55:46,,,,
"Типи полів у CRM | База знань Uspacy | Навчальні статті та практичні матеріали, що допоможуть в роботі з Uspacy",https://ua.uspacy.support/uk/articles/8805176-%D1%82%D0%B8%D0%BF%D0%B8-%D0%BF%D0%BE%D0%BB%D1%96%D0%B2-%D1%83-crm,uk,,200,27,0,103,0,8,78,5,3,https://uspacy.ua/prices/,"❗️Зверніть увагу, що працювати з користувацькими полями можна лише на",комерційних тарифах,. Щоб спробувати цей функціонал можна активувати деморежим .,,,text,false,false,true,false,false,false,true,,,pagefound,2025-01-19 03:05:10,2026-03-11 11:23:28,,,,
Бітрікс24 припиняє роботу в Україні. Як вивантажити дані та мігрувати на іншу CRM? — статті CRM Solutions,https://crmsolutions.ua/bitriks24/,uk,wordpress,200,31,4.5,3061,0,11,12,3,3,https://uspacy.ua/,,Uspacy,— український онлайн-сервіс та єдиний простір для управління ключовими процесами,,,text,false,true,true,false,false,false,true,,,pagefound,2025-03-14 16:42:07,2026-02-28 13:49:34,,,,
